Right Knee,Left Knee,Right Ankle,Left Ankle,Right Heel,Left Heel,Right Foot Index,Left Foot Index,Pose ID
"(0.3948194086551666, 0.5034598708152771, 0.0487050861120224, 0.9999891519546509, 0.9999994039535522)","(0.4260384738445282, 0.4917357861995697, -0.048846080899238586, 0.9999833106994629, 0.9999996423721313)","(0.4308303892612457, 0.6152349710464478, 0.1307751089334488, 0.8375613689422607, 0.9999725818634033)","(0.4678230881690979, 0.5877652168273926, -0.008203133009374142, 0.9083768725395203, 0.9999877214431763)","(0.45873016119003296, 0.7320771813392639, 0.1515873521566391, 0.8576906323432922, 0.9999336004257202)","(0.4807203710079193, 0.7197672724723816, 0.006863310933113098, 0.8308467268943787, 0.9999326467514038)","(0.4625300467014313, 0.7503485083580017, 0.15159058570861816, 0.9305062890052795, 0.9998133778572083)","(0.4773431718349457, 0.7448000311851501, 0.0081924544647336, 0.850206196308136, 0.9998997449874878)",0
"(0.3926091492176056, 0.5019177198410034, 0.06765510886907578, 0.9999885559082031, 0.9999996423721313)","(0.42440348863601685, 0.4881799519062042, -0.06786157935857773, 0.999984085559845, 0.9999996423721313)","(0.4315843880176544, 0.6144072413444519, 0.12176435440778732, 0.8366007208824158, 0.9999791383743286)","(0.46684521436691284, 0.5900134444236755, -0.008111721836030483, 0.9162613153457642, 0.9999797344207764)","(0.45852580666542053, 0.7309486269950867, 0.10804463922977448, 0.8650397658348083, 0.999953031539917)","(0.4956803023815155, 0.7109608054161072, 0.005041229072958231, 0.8462743163108826, 0.9999326467514038)","(0.46068519353866577, 0.7483657002449036, 0.1040710061788559, 0.933456301689148, 0.99982750415802)","(0.4950581192970276, 0.7303754091262817, 0.005607981234788895, 0.8632689714431763, 0.9999141693115234)",0
"(0.38880109786987305, 0.5049235820770264, 0.07111244648694992, 0.9999865889549255, 0.9999980926513672)","(0.4173126220703125, 0.49376416206359863, -0.07135603576898575, 0.9999814033508301, 0.9999947547912598)","(0.43109816312789917, 0.6128982901573181, 0.12047233432531357, 0.8407719731330872, 0.999943733215332)","(0.457643985748291, 0.5679914951324463, -0.018061170354485512, 0.9170399308204651, 0.9998372793197632)","(0.4580380618572235, 0.7354157567024231, 0.09338834881782532, 0.8745404481887817, 0.9995390176773071)","(0.483609676361084, 0.6293359994888306, 0.03291318565607071, 0.8489017486572266, 0.999455988407135)","(0.4568692445755005, 0.7562862038612366, 0.08848924189805984, 0.93697190284729, 0.9979628324508667)","(0.4926621615886688, 0.6410894989967346, 0.03858790919184685, 0.8612701892852783, 0.9993906021118164)",0
"(0.38653433322906494, 0.49524858593940735, 0.07459411770105362, 0.9999827146530151, 0.9999973773956299)","(0.4117296636104584, 0.49259158968925476, -0.07477700710296631, 0.9999788403511047, 0.9999972581863403)","(0.42875340580940247, 0.6073146462440491, 0.18976226449012756, 0.8010349869728088, 0.9999508857727051)","(0.459585577249527, 0.5564411282539368, 0.031922295689582825, 0.8839877247810364, 0.9999362230300903)","(0.45251840353012085, 0.7363241314888, 0.25389736890792847, 0.8625923991203308, 0.9995525479316711)","(0.44176653027534485, 0.6420392394065857, 0.18944333493709564, 0.8113938570022583, 0.9997398257255554)","(0.45190510153770447, 0.7608181238174438, 0.25732114911079407, 0.916974663734436, 0.998492956161499)","(0.4335663318634033, 0.6573017835617065, 0.20513279736042023, 0.8125767707824707, 0.999757707118988)",0
"(0.3824557363986969, 0.4870598316192627, 0.06936091929674149, 0.9999818205833435, 0.9999991655349731)","(0.4093908369541168, 0.4892576336860657, -0.06956710666418076, 0.9999779462814331, 0.9999986886978149)","(0.4243147373199463, 0.5988443493843079, 0.15255117416381836, 0.7598671317100525, 0.9999779462814331)","(0.45062920451164246, 0.5244704484939575, 0.036747947335243225, 0.8427755236625671, 0.9999678134918213)","(0.446824848651886, 0.7320380210876465, 0.1759604662656784, 0.8513597249984741, 0.9999042749404907)","(0.4275977313518524, 0.6288169026374817, 0.12670761346817017, 0.7885584831237793, 0.9999291896820068)","(0.4445795714855194, 0.7534626722335815, 0.1754305213689804, 0.9045495986938477, 0.9996885061264038)","(0.4165310561656952, 0.6561718583106995, 0.13479232788085938, 0.7804755568504333, 0.9999265670776367)",0
"(0.3552427589893341, 0.5928640961647034, 0.05814410746097565, 0.9999307990074158, 0.9999977350234985)","(0.38574984669685364, 0.5866631865501404, -0.0583600290119648, 0.9999366998672485, 0.9999958276748657)","(0.40689313411712646, 0.6787957549095154, 0.20602187514305115, 0.6431233882904053, 0.9999667406082153)","(0.4464262127876282, 0.6463894844055176, -0.0017957892268896103, 0.8755179047584534, 0.9999661445617676)","(0.4442514479160309, 0.7803005576133728, 0.25143933296203613, 0.7521225810050964, 0.9998310804367065)","(0.44259461760520935, 0.7515945434570312, 0.10981876403093338, 0.8072652816772461, 0.9998815059661865)","(0.44586652517318726, 0.8053759932518005, 0.2527752220630646, 0.8366096019744873, 0.9993458390235901)","(0.43112713098526, 0.7754713892936707, 0.13304470479488373, 0.8052491545677185, 0.9998093247413635)",1
"(0.358432412147522, 0.5854114890098572, 0.09426453709602356, 0.9999373555183411, 0.9999998807907104)","(0.37892141938209534, 0.5812117457389832, -0.09440289437770844, 0.9999427795410156, 0.9999997615814209)","(0.4115445911884308, 0.6762164831161499, 0.2517606317996979, 0.6627779006958008, 0.9999958276748657)","(0.43871840834617615, 0.6456820964813232, -0.07383985072374344, 0.8878872394561768, 0.999997615814209)","(0.442106693983078, 0.7780553698539734, 0.3578709065914154, 0.7734976410865784, 0.9999794960021973)","(0.48823410272598267, 0.7774974703788757, -0.06946530938148499, 0.8264724612236023, 0.9999850988388062)","(0.44598567485809326, 0.8071014881134033, 0.36516791582107544, 0.8487502932548523, 0.9999120235443115)","(0.4854556918144226, 0.8095965385437012, -0.06961382180452347, 0.824326753616333, 0.9999685287475586)",1
"(0.3585736155509949, 0.574995756149292, 0.08826233446598053, 0.9999415874481201, 0.9999983310699463)","(0.37688305974006653, 0.564507246017456, -0.088407002389431, 0.999947190284729, 0.9999977350234985)","(0.4100821614265442, 0.6740415096282959, 0.20970259606838226, 0.6511914134025574, 0.9999748468399048)","(0.43369388580322266, 0.645273745059967, 0.02817634493112564, 0.8951020240783691, 0.9999381303787231)","(0.438148558139801, 0.7811634540557861, 0.2999238967895508, 0.7716120481491089, 0.999809205532074)","(0.480164110660553, 0.7126423120498657, 0.149687260389328, 0.8374540209770203, 0.9996825456619263)","(0.4391806423664093, 0.8050106167793274, 0.3064400553703308, 0.844515860080719, 0.9992824196815491)","(0.4826422929763794, 0.7403749227523804, 0.16154585778713226, 0.8334518671035767, 0.9997072815895081)",1
"(0.3636492192745209, 0.5060520172119141, 0.07856837660074234, 0.9999509453773499, 0.9999992847442627)","(0.36791491508483887, 0.5233075022697449, -0.07873191684484482, 0.9999552369117737, 0.999998927116394)","(0.3904173672199249, 0.6189438700675964, 0.15916015207767487, 0.5439532995223999, 0.9999929666519165)","(0.3955850303173065, 0.6249056458473206, 0.02353501319885254, 0.8788331747055054, 0.9999809265136719)","(0.4011191129684448, 0.7575241923332214, 0.20734719932079315, 0.7242082357406616, 0.9999148845672607)","(0.395958811044693, 0.7661895155906677, 0.11911293864250183, 0.8538722395896912, 0.999883770942688)","(0.3965120017528534, 0.7886037826538086, 0.20817510783672333, 0.7669219374656677, 0.9996008276939392)","(0.38934528827667236, 0.7965839505195618, 0.12661822140216827, 0.8010369539260864, 0.999846339225769)",1
"(0.3543087840080261, 0.49898359179496765, 0.07767615467309952, 0.9999551773071289, 0.9999997615814209)","(0.37201398611068726, 0.5134434103965759, -0.07781785726547241, 0.9999589920043945, 0.9999994039535522)","(0.3639860451221466, 0.6534126996994019, 0.15067514777183533, 0.5784522891044617, 0.9999977350234985)","(0.4091149568557739, 0.5766100883483887, 0.032829850912094116, 0.8838759064674377, 0.9999935626983643)","(0.3634084165096283, 0.8136259913444519, 0.2025994509458542, 0.7484427094459534, 0.9998719692230225)","(0.39854899048805237, 0.7089752554893494, 0.1594577133655548, 0.8594192862510681, 0.9999440908432007)","(0.3560507893562317, 0.8453813791275024, 0.20473268628120422, 0.785659909248352, 0.9992656111717224)","(0.3915218412876129, 0.7275578379631042, 0.17154854536056519, 0.8004299402236938, 0.9999188184738159)",1
"(0.46410542726516724, 0.6341679096221924, 0.08257101476192474, 0.9999704957008362, 0.9999964237213135)","(0.493546724319458, 0.6237335801124573, -0.08273151516914368, 0.9999763369560242, 0.9999923706054688)","(0.5178065299987793, 0.7458035945892334, 0.11631787568330765, 0.776300311088562, 0.9998169541358948)","(0.5395227074623108, 0.718999445438385, -0.08765057474374771, 0.9192588925361633, 0.9996410608291626)","(0.5402572154998779, 0.8929250836372375, 0.08708716928958893, 0.8060314059257507, 0.9991236329078674)","(0.5310904383659363, 0.8313733339309692, -0.04581031575798988, 0.8129652738571167, 0.9991260170936584)","(0.5348024368286133, 0.9248210191726685, 0.08105645328760147, 0.8738818764686584, 0.9967890977859497)","(0.5148041844367981, 0.8681920766830444, -0.041056010872125626, 0.8151612877845764, 0.9989423155784607)",2
"(0.46680644154548645, 0.6420450806617737, 0.08180882036685944, 0.9999704360961914, 0.9999991655349731)","(0.4958969056606293, 0.6282636523246765, -0.08200594037771225, 0.9999770522117615, 0.9999990463256836)","(0.5161656141281128, 0.7476826310157776, 0.18354365229606628, 0.758291482925415, 0.9999220371246338)","(0.5408011674880981, 0.7302242517471313, -0.01671198010444641, 0.9240195751190186, 0.9999374151229858)","(0.5403863191604614, 0.8882035613059998, 0.21007086336612701, 0.8044252991676331, 0.9998694658279419)","(0.5605668425559998, 0.882453441619873, -0.010536108165979385, 0.8287835717201233, 0.9995373487472534)","(0.5393148064613342, 0.9143383502960205, 0.21043230593204498, 0.876789927482605, 0.9995463490486145)","(0.5557268857955933, 0.9099828600883484, -0.010641299188137054, 0.829070508480072, 0.9993307590484619)",2
"(0.46665409207344055, 0.6347207427024841, 0.08532481640577316, 0.9999715685844421, 0.9999994039535522)","(0.495457261800766, 0.6211177706718445, -0.08548750728368759, 0.9999769330024719, 0.9999984502792358)","(0.5124796032905579, 0.7545285820960999, 0.20617689192295074, 0.7622684240341187, 0.9999864101409912)","(0.535693883895874, 0.7448652386665344, 0.04748706892132759, 0.9272937774658203, 0.9999419450759888)","(0.5390163064002991, 0.8982785940170288, 0.27820712327957153, 0.8133707642555237, 0.9999145269393921)","(0.5804416537284851, 0.8639847040176392, 0.13077852129936218, 0.8420414328575134, 0.9997060894966125)","(0.5409873127937317, 0.9231443405151367, 0.28175702691078186, 0.8800235986709595, 0.9996426105499268)","(0.5802868604660034, 0.8943793177604675, 0.13667531311511993, 0.8395175933837891, 0.9996248483657837)",2
"(0.46610400080680847, 0.630081295967102, 0.06427640467882156, 0.9999722838401794, 0.9999992847442627)","(0.49515479803085327, 0.6197896003723145, -0.0643969178199768, 0.9999777674674988, 0.9999994039535522)","(0.5115065574645996, 0.7525887489318848, 0.13246412575244904, 0.7783184051513672, 0.999982476234436)","(0.5357819199562073, 0.7401809692382812, 0.039510272443294525, 0.9320192933082581, 0.9999803304672241)","(0.5377283096313477, 0.8978661298751831, 0.1394437551498413, 0.8287586569786072, 0.9999388456344604)","(0.5795166492462158, 0.8390939831733704, 0.1043848842382431, 0.8545688390731812, 0.999923586845398)","(0.5391283631324768, 0.924048662185669, 0.13758167624473572, 0.889931857585907, 0.9997466206550598)","(0.5798501968383789, 0.8698621988296509, 0.1102466732263565, 0.8527793884277344, 0.9999072551727295)",2
